Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782771078,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782771079,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782771080,25,,Aggregated,0.000000,0.000000,280,280,290,290,290,290,290,290,290,290,290,6,0,280,276.96758330178756,250.25440007448196,294.56670000217855,992.3333333333334
1782771081,50,,Aggregated,0.000000,0.000000,280,290,290,290,320,320,320,320,320,320,320,7,0,280,282.51652855293025,250.25440007448196,315.81020005978644,956.2857142857143
1782771082,75,,Aggregated,0.500000,0.000000,1200,1400,1400,2200,2500,2500,2500,2500,2500,2500,2500,37,0,1200,1236.873029731214,90.49930004402995,2489.3682999536395,1152.1891891891892
1782771083,100,,Aggregated,2.000000,0.000000,1400,1400,2200,2500,2700,2700,2700,3800,3800,3800,3800,60,0,1300,1345.7405749902439,90.49930004402995,3765.9904998727143,1355.5
1782771084,125,,Aggregated,4.750000,0.000000,1400,1500,2500,2500,2600,2700,2700,3800,3900,3900,3900,107,0,1400,1318.1205186818804,90.49930004402995,3862.27190005593,1239.2616822429907
1782771085,150,,Aggregated,7.400000,0.000000,1100,1400,2200,2500,2700,2700,3700,3800,3900,3900,3900,153,0,1100,1201.3049928024045,90.49930004402995,3862.27190005593,1109.575163398693
1782771086,175,,Aggregated,12.666667,0.000000,500,1400,1700,2500,2700,2700,3600,3800,3900,3900,3900,211,0,500,1092.8651696618347,88.69020012207329,3862.27190005593,1244.1232227488151
1782771087,200,,Aggregated,18.285714,0.000000,320,1400,1500,2500,2700,2800,3800,7400,7400,7400,7400,259,0,320,1044.2648227749082,78.08919996023178,7378.235100070015,1221.4362934362935
1782771088,225,,Aggregated,21.250000,0.000000,600,1200,1500,2500,2700,3600,4500,7400,7400,7400,7400,320,0,600,1094.9165296820865,78.08919996023178,7378.235100070015,1197.703125
1782771089,250,,Aggregated,26.666667,0.000000,480,780,1400,2500,2700,3600,7400,9500,9700,9700,9700,426,0,480,1134.1258389607483,78.08919996023178,9654.96850013733,1233.6784037558687
1782771090,275,,Aggregated,28.200000,0.000000,460,780,1500,2500,2700,3800,4800,9500,9700,9700,9700,494,0,460,1146.7022971586637,78.08919996023178,9654.96850013733,1218.3137651821862
1782771091,300,,Aggregated,35.900000,0.000000,440,740,1500,2500,2800,3600,4700,7400,9700,9700,9700,598,0,440,1113.889174576752,78.08919996023178,9654.96850013733,1223.3377926421404
1782771092,325,,Aggregated,45.200000,0.000000,380,620,1400,1700,2700,3600,4700,7600,9700,9700,9700,716,0,370,1025.1113194091033,78.08919996023178,9654.96850013733,1220.7094972067039
1782771093,350,,Aggregated,52.100000,0.000000,350,630,1400,1800,2800,3900,7400,8700,9700,9700,9700,871,0,350,1071.468319400373,78.08919996023178,9654.96850013733,1209.0539609644088
1782771094,375,,Aggregated,63.100000,0.000000,320,550,840,1600,2700,3800,7400,7800,9600,9700,9700,1017,0,320,1005.3245422772371,78.08919996023178,9654.96850013733,1201.654867256637
1782771095,400,,Aggregated,74.500000,0.000000,310,490,760,1500,2700,3700,7400,7800,9600,9700,9700,1097,0,310,950.9105237883006,78.08919996023178,9654.96850013733,1202.5396536007293
1782771096,425,,Aggregated,84.500000,0.000000,340,630,820,1400,2700,3600,7400,7800,9600,9700,9700,1201,0,340,956.9168401276033,78.08919996023178,9654.96850013733,1192.8684429641964
1782771097,450,,Aggregated,93.500000,0.000000,390,710,950,1400,2700,3600,7400,8500,9600,9700,9700,1324,0,380,985.8615887421676,78.08919996023178,9654.96850013733,1200.8383685800604
1782771098,475,,Aggregated,96.200000,0.000000,430,760,1200,1500,2700,3600,7500,8500,9600,9700,9700,1438,0,430,1032.1663752400934,78.08919996023178,9654.96850013733,1213.7656467315717
1782771099,500,,Aggregated,100.000000,0.000000,470,840,1400,1600,2700,3800,7700,8900,11000,11000,11000,1535,0,470,1110.849178172739,78.08919996023178,10913.145800121129,1212.0234527687296
1782771100,500,,Aggregated,110.400000,0.000000,570,960,1400,1800,3000,4200,7700,9300,16000,16000,16000,1769,0,570,1223.1494183134848,78.08919996023178,16365.969900041819,1196.3159977388354
1782771101,500,,Aggregated,107.900000,0.000000,570,1000,1500,1800,3200,4500,7800,9400,16000,17000,17000,1922,0,570,1266.1198279380644,78.08919996023178,16501.67449982837,1191.0905306971904
1782771102,500,,Aggregated,115.500000,0.000000,540,970,1400,1800,3300,4600,7600,9300,16000,17000,17000,2103,0,540,1263.3184101260956,78.08919996023178,16501.67449982837,1197.601046124584
1782771103,500,,Aggregated,126.900000,0.000000,520,940,1400,1700,3200,4600,7700,9500,16000,17000,17000,2277,0,520,1245.1790169066085,78.08919996023178,16659.474999876693,1197.0654369784804
1782771104,500,,Aggregated,133.500000,0.000000,510,930,1400,1700,3100,4500,7600,9400,16000,17000,17000,2437,0,510,1221.6132446025965,78.08919996023178,16659.474999876693,1197.5547804677883
