Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /rest/v1/academic_years,13,0,85,97.3162384560475,76.81640004739165,201.79490000009537,2.0,0.4432892071868881,0.0,85,90,93,100,130,200,200,200,200,200,200
GET,GET /rest/v1/attendance_records,12,0,130,151.3418000152645,82.21640007104725,298.84970001876354,2.0,0.4091900374032813,0.0,170,170,180,180,210,300,300,300,300,300,300
GET,GET /rest/v1/attendance_sessions,12,0,88,135.95394167350605,81.59219997469336,465.7380999997258,2.0,0.4091900374032813,0.0,92,110,120,120,210,470,470,470,470,470,470
GET,GET /rest/v1/branches,13,0,190,209.5322845987259,78.8380999583751,877.6311000110582,2.0,0.4432892071868881,0.0,190,210,210,210,280,880,880,880,880,880,880
GET,GET /rest/v1/finance_transactions,12,12,100,132.19815832174694,80.59949998278171,273.2903999276459,103.0,0.4091900374032813,0.4091900374032813,100,150,180,180,190,270,270,270,270,270,270
GET,GET /rest/v1/groups,13,0,86,110.03135383809702,76.23830006923527,238.9859000686556,2.0,0.4432892071868881,0.0,86,94,110,120,200,240,240,240,240,240,240
GET,GET /rest/v1/groups (multi-tenant),36,0,110,153.83798611583188,77.43870001286268,895.4897000221536,2.0,1.227570112209844,0.0,110,160,200,200,210,290,900,900,900,900,900
GET,GET /rest/v1/profiles (student_roster),12,0,94,101.74583332263865,80.16200002748519,169.46749994531274,2.0,0.4091900374032813,0.0,97,98,110,110,120,170,170,170,170,170,170
GET,GET /rest/v1/unified_notifications (queue),10,0,110,164.71455001737922,80.42450004722923,332.0957999676466,2.0,0.34099169783606775,0.0,160,210,230,240,330,330,330,330,330,330,330
GET,GET /rest/v1/videos (multi-tenant),36,0,89,122.29159166519013,75.04000002518296,301.85650009661913,2.0,1.227570112209844,0.0,93,120,170,170,210,230,300,300,300,300,300
GET,SPAM /rest/v1/profiles (search),35,0,94,117.82742573081383,76.42049994319677,256.0029999585822,2.0,1.193470942426237,0.0,94,110,140,180,200,210,260,260,260,260,260
POST,SPAM /rest/v1/rpc/get_student_status_counts,34,0,90,120.95140883534708,78.53059994522482,340.1413999963552,75.0,1.1593717726426305,0.0,91,100,150,170,200,220,340,340,340,340,340
,Aggregated,238,12,94,132.34635840704226,75.04000002518296,895.4897000221536,17.521008403361346,8.115602408498413,0.4091900374032813,94,120,170,180,210,240,330,470,900,900,900
