Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785805549,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785805550,10,,Aggregated,0.000000,0.000000,100,180,200,210,210,280,280,280,280,280,280,15,0,100,141.0679266632845,80.39979997556657,282.7725000679493,6.866666666666666
1785805551,20,,Aggregated,0.000000,0.000000,93,180,200,210,280,1200,1300,1300,1300,1300,1300,43,0,93,234.2942883666648,76.62860001437366,1318.823500070721,8.790697674418604
1785805552,30,,Aggregated,14.000000,0.000000,170,180,210,220,360,1200,1400,1400,1400,1400,1400,64,0,170,261.44611250128946,76.62860001437366,1423.2725999318063,8.84375
1785805553,50,,Aggregated,20.000000,0.000000,170,180,200,220,390,1300,1400,2600,2600,2600,2600,97,0,170,267.92570412250177,74.63090005330741,2580.8208000380546,9.525773195876289
1785805554,50,,Aggregated,18.333333,0.000000,130,180,200,220,1200,1400,2400,2400,2600,2600,2600,139,0,130,309.68963740671575,74.63090005330741,2580.8208000380546,8.302158273381295
1785805555,50,,Aggregated,20.750000,0.000000,110,170,200,220,1200,2400,2400,2600,3300,3300,3300,177,1,110,342.8233853070392,74.63090005330741,3348.614899907261,11.231638418079097
1785805556,50,,Aggregated,26.000000,0.000000,100,160,180,210,1200,2400,2400,2600,3400,3400,3400,216,1,100,344.9052851803437,72.32299994211644,3367.3056999687105,11.930555555555555
1785805557,50,,Aggregated,27.000000,0.166667,98,140,170,190,410,2400,2400,2600,3400,3400,3400,254,2,97,307.48557480048447,72.32299994211644,3367.3056999687105,13.429133858267717
1785805558,50,,Aggregated,28.428571,0.142857,110,170,180,200,390,2400,2400,3300,7300,7300,7300,291,2,110,314.7298030917696,72.32299994211644,7265.245399903506,13.982817869415808
1785805559,50,,Aggregated,29.750000,0.250000,120,160,180,190,350,1400,2400,2600,7300,7300,7300,332,7,120,295.695465961359,72.32299994211644,7265.245399903506,15.563253012048193
1785805560,50,,Aggregated,30.111111,0.222222,110,160,170,180,230,1300,2400,2600,7300,7300,7300,378,13,110,273.2356481454902,72.32299994211644,7265.245399903506,16.867724867724867
1785805561,50,,Aggregated,31.100000,0.400000,110,150,170,180,220,1200,2400,2500,7300,7300,7300,419,18,110,255.0445226710712,72.32299994211644,7265.245399903506,17.48926014319809
1785805562,50,,Aggregated,34.700000,1.300000,100,150,170,180,210,1200,2400,2500,7300,7300,7300,470,23,100,238.04141936050925,72.32299994211644,7265.245399903506,17.659574468085108
1785805563,50,,Aggregated,36.700000,1.700000,100,150,170,180,210,1200,2400,2500,7300,7300,7300,494,23,100,234.9560744928475,72.32299994211644,7265.245399903506,17.63765182186235
1785805564,50,,Aggregated,39.400000,2.100000,110,160,180,190,230,580,2400,2400,7300,7300,7300,538,25,110,235.10789832677588,72.32299994211644,7265.245399903506,17.412639405204462
1785805565,50,,Aggregated,39.900000,2.300000,130,170,190,200,230,520,2400,2400,7300,7300,7300,589,27,130,231.39544617932555,72.32299994211644,7265.245399903506,17.164685908319186
1785805566,50,,Aggregated,38.400000,2.400000,130,170,190,190,220,410,2400,2400,7300,7300,7300,628,27,130,225.35866592301852,72.32299994211644,7265.245399903506,16.804140127388536
1785805567,50,,Aggregated,40.200000,2.600000,120,160,180,190,220,390,2400,2400,7300,7300,7300,685,27,120,213.99194788286312,72.18990009278059,7265.245399903506,16.105109489051095
1785805568,50,,Aggregated,40.600000,2.600000,110,160,180,190,220,360,2400,2400,7300,7300,7300,725,27,110,207.0778977931959,72.18990009278059,7265.245399903506,16.031724137931036
1785805569,50,,Aggregated,41.900000,2.500000,100,150,170,190,210,350,1400,2400,7300,7300,7300,770,28,100,200.0239901291509,72.18990009278059,7265.245399903506,16.385714285714286
1785805570,50,,Aggregated,43.200000,2.500000,99,150,170,180,210,260,1400,2400,7300,7300,7300,807,29,99,194.80247521580253,72.18990009278059,7265.245399903506,16.574969021065677
1785805571,50,,Aggregated,43.800000,2.300000,97,140,170,180,210,240,1400,2400,7300,7300,7300,856,33,97,188.97220724241626,72.18990009278059,7265.245399903506,16.809579439252335
1785805572,50,,Aggregated,42.200000,1.600000,96,140,170,180,200,230,1400,2400,7300,7300,7300,899,36,96,184.25541512734952,72.18990009278059,7265.245399903506,17.16907675194661
