Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /rest/v1/academic_years,96,0,90,124.08647707949665,72.18739995732903,516.5355000644922,2.0,2.2143905673306263,0.0,92,120,140,140,190,230,510,520,520,520,520
GET,GET /rest/v1/attendance_records,80,0,140,141.1422199991648,74.7929000062868,388.8264000415802,2.0,1.845325472775522,0.0,150,170,180,190,210,220,250,390,390,390,390
GET,GET /rest/v1/attendance_sessions,82,0,97,116.11523902009627,74.97759989928454,237.51559993252158,2.0,1.89145860959491,0.0,97,130,150,170,180,190,220,240,240,240,240
GET,GET /rest/v1/branches,97,0,150,400.9305556717607,75.81389998085797,2427.7829999336973,2.0,2.2374571357403203,0.0,150,210,270,450,1200,2300,2400,2400,2400,2400,2400
GET,GET /rest/v1/finance_transactions,80,80,150,149.19203374302015,72.68240000121295,555.6905000703409,103.0,1.845325472775522,1.845325472775522,150,170,190,190,210,240,410,560,560,560,560
GET,GET /rest/v1/groups,96,0,89,120.25297813064147,74.1361000109464,572.745900019072,2.0,2.2143905673306263,0.0,89,120,130,140,190,270,390,570,570,570,570
GET,GET /rest/v1/groups (multi-tenant),259,0,120,188.2645382242939,71.95450004655868,3322.4908999400213,2.0,5.974241218110753,0.0,120,160,180,180,230,480,1200,1300,3300,3300,3300
GET,GET /rest/v1/profiles (student_roster),90,0,100,130.83518444068937,76.16980001330376,548.4189999988303,2.0,2.0759911568724623,0.0,100,140,150,160,190,280,380,550,550,550,550
GET,GET /rest/v1/unified_notifications (queue),74,0,96,123.70073783991707,75.45200001914054,433.42440004926175,2.0,1.7069260623173579,0.0,97,130,150,160,190,230,230,430,430,430,430
GET,GET /rest/v1/videos (multi-tenant),258,0,100,130.62066433801454,72.37989990971982,609.7395999822766,2.0,5.951174649701058,0.0,100,140,170,170,190,220,410,510,610,610,610
GET,SPAM /rest/v1/profiles (search),280,0,98,132.14550964185037,73.21599998977035,1211.9779998902231,2.0,6.458639154714327,0.0,99,130,160,170,190,210,230,570,1200,1200,1200
POST,SPAM /rest/v1/rpc/get_student_status_counts,299,0,96,128.10633845945017,72.77940004132688,1314.0465000178665,75.0,6.896903954498514,0.0,96,130,150,160,190,230,360,770,1300,1300,1300
,Aggregated,1791,80,100,152.8694848674295,71.95450004655868,3322.4908999400213,18.698492462311556,41.312224021762,1.845325472775522,100,140,170,180,200,250,550,1200,2400,3300,3300
