Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Admin: get_student_status_counts (RPC),1090,0,110,210.4600105500874,92.70490001654252,16626.189599977806,77.0,0.6487389202689898,0.0,110,120,120,130,150,190,540,2700,17000,17000,17000
GET,Admin: grades report (OVER-FETCH),766,0,92,212.0772040468536,74.35469998745248,15585.037200013176,127.0,0.455902764152336,0.0,92,97,100,110,140,190,1300,2600,16000,16000,16000
HEAD,Admin: roster COUNT head-only,349,0,130,297.8505722038918,110.50030001206324,22618.033299979288,0.0,0.2077154891503463,0.0,130,130,140,140,170,200,260,8700,23000,23000,23000
GET,Admin: roster PAGED+lean,1170,0,110,189.45506735123757,92.8321999963373,16633.395999961067,6586.0,0.6963527859768056,0.0,110,120,120,130,150,190,350,1700,8900,17000,17000
HEAD,Admin: wa summary count [failed],708,0,88,95.58167768425919,73.0984999681823,1028.516300022602,0.0,0.42138271151416956,0.0,88,92,95,99,110,130,160,200,1000,1000,1000
HEAD,Admin: wa summary count [pending],708,0,93,138.69215678043813,74.41250002011657,7719.197099970188,0.0,0.42138271151416956,0.0,93,97,100,100,130,160,270,1500,7700,7700,7700
HEAD,Admin: wa summary count [sent],708,1,98,201.24467090446382,80.91140002943575,68546.06180003611,0.0,0.42138271151416956,0.0005951733213476971,98,100,110,110,130,140,180,210,69000,69000,69000
GET,Assistant: roster PAGED+lean,2357,1,110,155.19464153631566,93.71779998764396,21559.566199954133,6583.205770046669,1.402823518416522,0.0005951733213476971,110,120,120,130,160,220,280,520,8500,22000,22000
GET,POLL Notifications: list(50),12451,17,97,189.7482991724358,45.73369998252019,68489.52359997202,15912.244478355153,7.410503024100177,0.010117946462910851,97,100,110,110,140,190,310,1600,17000,68000,68000
GET,Student: exams (lean),6249,8,95,175.35661833830738,50.67500000586733,21571.14990003174,416.46615458473354,3.7192380851017592,0.004761386570781577,95,99,100,110,140,190,300,1300,16000,22000,22000
GET,Student: homeworks (lean),4185,2,93,170.88941792106831,50.80399999860674,68545.991699968,739.6463560334528,2.4908003498401126,0.0011903466426953942,93,97,100,110,130,170,260,1400,8800,69000,69000
GET,Student: own profile,1994,3,120,192.99193811534,54.91280002752319,15689.520100015216,100.84804413239719,1.186775602767308,0.0017855199640430914,120,120,130,130,160,200,300,1300,16000,16000,16000
GET,Student: videos (lean),10405,17,96,168.63737885617252,48.380899999756366,68489.33720000787,1640.3156174915905,6.192778408622789,0.010117946462910851,96,100,110,110,130,180,280,1400,16000,38000,68000
GET,SuperAdmin: tenants list,1247,0,92,246.9913105056255,76.80099998833612,21541.57480003778,1742.0,0.7421811317205783,0.0,92,97,100,100,130,210,2300,7200,16000,22000,22000
,Aggregated,44387,49,98,180.5175729604346,45.73369998252019,68546.06180003611,5557.157951652511,26.41795821466023,0.02916349274603716,98,110,110,120,140,190,300,1500,16000,68000,69000
