Method,Name,Error,Occurrences,First Seen,Last Seen
GET,RUSH exam open,RemoteDisconnected('Remote end closed connection without response'),63,2026-07-24T04:17:46Z,2026-07-24T04:24:36Z
GET,RUSH exams list,RemoteDisconnected('Remote end closed connection without response'),62,2026-07-24T04:17:44Z,2026-07-24T04:24:35Z
GET,RUSH exam open,"ConnectTimeoutError(<HTTPSConnection(host='zphnjirmcrolqjrhjjqt.supabase.co', port=443) at 0x2c45a52ccd0>, 'Connection to zphnjirmcrolqjrhjjqt.supabase.co timed out. (connect timeout=None)')",1,2026-07-24T04:18:03Z,2026-07-24T04:18:03Z
GET,RUSH exam open,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",378,2026-07-24T04:17:45Z,2026-07-24T04:24:51Z
GET,RUSH exams list,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",514,2026-07-24T04:17:45Z,2026-07-24T04:24:53Z
GET,RUSH exams list,"ConnectTimeoutError(<HTTPSConnection(host='zphnjirmcrolqjrhjjqt.supabase.co', port=443) at 0x2c45a8a4410>, 'Connection to zphnjirmcrolqjrhjjqt.supabase.co timed out. (connect timeout=None)')",1,2026-07-24T04:18:03Z,2026-07-24T04:18:03Z
GET,RUSH own profile,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",257,2026-07-24T04:17:47Z,2026-07-24T04:24:38Z
GET,RUSH exams list,"ConnectTimeoutError(<HTTPSConnection(host='zphnjirmcrolqjrhjjqt.supabase.co', port=443) at 0x2c459c66ad0>, 'Connection to zphnjirmcrolqjrhjjqt.supabase.co timed out. (connect timeout=None)')",1,2026-07-24T04:18:03Z,2026-07-24T04:18:03Z
GET,RUSH own profile,"ConnectTimeoutError(<HTTPSConnection(host='zphnjirmcrolqjrhjjqt.supabase.co', port=443) at 0x2c45a52f9d0>, 'Connection to zphnjirmcrolqjrhjjqt.supabase.co timed out. (connect timeout=None)')",1,2026-07-24T04:18:03Z,2026-07-24T04:18:03Z
GET,RUSH videos,"SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)'))",17,2026-07-24T04:18:15Z,2026-07-24T04:24:31Z
